CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Afyonkarahisar,Dinar,Afyonkarahisar,Dinar,1281,1281,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Emirdağ,Afyonkarahisar,Emirdag,1306,1306,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Evciler,Afyonkarahisar,Evciler,1923,1923,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Hocalar,Afyonkarahisar,Hocalar,1944,1944,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,İhsaniye,Afyonkarahisar,Ihsaniye,1404,1404,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,İscehisar,Afyonkarahisar,Iscehisar,1809,1809,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Kızılören,Afyonkarahisar,Kiziloren,1961,1961,1,,05/20/90,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Merkez,Afyonkarahisar,Merkez,1108,1108,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sandıklı,Afyonkarahisar,Sandikli,1594,1594,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sinanpaşa,Afyonkarahisar,Sinanpasa,1626,1626,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Şuhut,Afyonkarahisar,Suhut,1664,1664,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Afyonkarahisar,Sultandağı,Afyonkarahisar,Sultandagi,1639,1639,1,,,,,0,0,18,3,TR-03,TR332,14718.63,812416,706371,NA,NA,0,NA
Ağrı,Diyadin,Agri,Diyadin,1283,1283,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Doğubayazıt,Agri,Dogubayazit,1287,1287,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Eleşkirt,Agri,Eleskirt,1301,1301,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Hamur,Agri,Hamur,1379,1379,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Merkez,Agri,Merkez,1111,1111,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Patnos,Agri,Patnos,1568,1568,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Taşlıçay,Agri,Taslicay,1667,1667,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Ağrı,Tutak,Agri,Tutak,1691,1691,1,,,,,0,0,8,4,TR-04,TRA21,11498.67,528744,549435,NA,NA,0,NA
Aksaray,Ağaçören,Aksaray,Agacoren,1860,1860,1,,,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Eskil,Aksaray,Eskil,1921,1921,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
Aksaray,Gülağaç,Aksaray,Gulagac,1932,1932,1,,05/20/90,,,0,0,8,68,TR-68,TR712,7965.51,396084,384252,Nigde,06/15/89,0,NA
