NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
ANKARA,GÖLBAŞI,ANKARA,GOLBASI,25,1744,1,ANKARA ,GÖLBAŞI,TRUE,1
ANKARA,GÜDÜL,ANKARA,GUDUL,25,1365,1,ANKARA ,GÜDÜL,TRUE,1
ANKARA,HAYMANA,ANKARA,HAYMANA,25,1387,1,ANKARA ,HAYMANA,TRUE,1
ANKARA,KAHRAMANKAZAN,ANKARA,KAHRAMANKAZAN,25,1815,1,ANKARA ,KAHRAMANKAZAN,TRUE,1
ANKARA,KALECİK,ANKARA,KALECIK,25,1427,1,ANKARA ,KALECİK,TRUE,1
ANKARA,KEÇİÖREN,ANKARA,KECIOREN,25,1745,1,ANKARA ,KEÇİÖREN,TRUE,1
ANKARA,KIZILCAHAMAM,ANKARA,KIZILCAHAMAM,25,1473,1,ANKARA ,KIZILCAHAMAM,TRUE,1
ANKARA,MAMAK,ANKARA,MAMAK,25,1746,1,ANKARA ,MAMAK,TRUE,1
ANKARA,NALLIHAN,ANKARA,NALLIHAN,25,1539,1,ANKARA ,NALLIHAN,TRUE,1
ANKARA,POLATLI,ANKARA,POLATLI,25,1578,1,ANKARA ,POLATLI,TRUE,1
ANKARA,PURSAKLAR,ANKARA,PURSAKLAR,25,2034,1,,,FALSE,0
ANKARA,ŞEREFLİKOÇHİSAR,ANKARA,SEREFLIKOCHISAR,25,1658,1,ANKARA ,ŞEREFLİKOÇHİSAR,TRUE,1
ANKARA,SİNCAN,ANKARA,SINCAN,25,1747,1,ANKARA ,SİNCAN,TRUE,1
ANKARA,YENİMAHALLE,ANKARA,YENIMAHALLE,25,1723,1,ANKARA ,YENİMAHALLE,TRUE,1
ANTALYA,AKSEKİ,ANTALYA,AKSEKI,19,1121,1,ANTALYA ,AKSEKİ,TRUE,1
ANTALYA,AKSU,ANTALYA,AKSU,19,2035,1,,,FALSE,0
ANTALYA,ALANYA,ANTALYA,ALANYA,19,1126,1,ANTALYA ,ALANYA,TRUE,1
ANTALYA,DEMRE,ANTALYA,DEMRE,19,1811,1,,,FALSE,0
ANTALYA,DÖŞEMEALTI,ANTALYA,DOSEMEALTI,19,2036,1,,,FALSE,0
ANTALYA,ELMALI,ANTALYA,ELMALI,19,1303,1,ANTALYA ,ELMALI,TRUE,1
ANTALYA,FİNİKE,ANTALYA,FINIKE,19,1333,1,ANTALYA ,FİNİKE,TRUE,1
ANTALYA,GAZİPAŞA,ANTALYA,GAZIPASA,19,1337,1,ANTALYA ,GAZİPAŞA,TRUE,1
ANTALYA,GÜNDOĞMUŞ,ANTALYA,GUNDOGMUS,19,1370,1,ANTALYA ,GÜNDOĞMUŞ,TRUE,1
ANTALYA,İBRADI,ANTALYA,IBRADI,19,1946,1,ANTALYA ,İBRADI,TRUE,1
ANTALYA,KAŞ,ANTALYA,KAS,19,1451,1,ANTALYA ,KAŞ,TRUE,1
ANTALYA,KEMER,ANTALYA,KEMER,19,1959,1,ANTALYA ,KEMER,TRUE,1
ANTALYA,KEPEZ,ANTALYA,KEPEZ,19,2037,1,,,FALSE,0
ANTALYA,KONYAALTI,ANTALYA,KONYAALTI,19,2038,1,,,FALSE,0
ANTALYA,KORKUTELİ,ANTALYA,KORKUTELI,19,1483,1,ANTALYA ,KORKUTELİ,TRUE,1
ANTALYA,KUMLUCA,ANTALYA,KUMLUCA,19,1492,1,ANTALYA ,KUMLUCA,TRUE,1
ANTALYA,MANAVGAT,ANTALYA,MANAVGAT,19,1512,1,ANTALYA ,MANAVGAT,TRUE,1
ANTALYA,MURATPAŞA,ANTALYA,MURATPASA,19,2039,1,,,FALSE,0
ANTALYA,SERİK,ANTALYA,SERIK,19,1616,1,ANTALYA ,SERİK,TRUE,1
ARDAHAN,ÇILDIR,ARDAHAN,CILDIR,5,1252,1,ARDAHAN ,ÇILDIR,TRUE,1
ARDAHAN,DAMAL,ARDAHAN,DAMAL,5,2008,1,ARDAHAN ,DAMAL,TRUE,1
ARDAHAN,GÖLE,ARDAHAN,GOLE,5,1356,1,ARDAHAN ,GÖLE,TRUE,1
ARDAHAN,HANAK,ARDAHAN,HANAK,5,1380,1,ARDAHAN ,HANAK,TRUE,1
ARDAHAN,MERKEZ,ARDAHAN,MERKEZ,,1144,0,ARDAHAN ,MERKEZ,TRUE,1
ARDAHAN,POSOF,ARDAHAN,POSOF,5,1579,1,ARDAHAN ,POSOF,TRUE,1
ARTVİN,ARDANUÇ,ARTVIN,ARDANUC,8,1145,1,ARTVİN ,ARDANUÇ,TRUE,1
ARTVİN,ARHAVİ,ARTVIN,ARHAVI,8,1147,1,ARTVİN ,ARHAVİ,TRUE,1
ARTVİN,BORÇKA,ARTVIN,BORCKA,8,1202,1,ARTVİN ,BORÇKA,TRUE,1
ARTVİN,HOPA,ARTVIN,HOPA,8,1395,1,ARTVİN ,HOPA,TRUE,1
ARTVİN,KEMALPAŞA,ARTVIN,KEMALPASA,8,2105,1,,,FALSE,0
ARTVİN,MERKEZ,ARTVIN,MERKEZ,,1152,0,ARTVİN ,MERKEZ,TRUE,1
ARTVİN,MURGUL,ARTVIN,MURGUL,8,1828,1,ARTVİN ,MURGUL,TRUE,1
ARTVİN,ŞAVŞAT,ARTVIN,SAVSAT,8,1653,1,ARTVİN ,ŞAVŞAT,TRUE,1
ARTVİN,YUSUFELİ,ARTVIN,YUSUFELI,8,1736,1,ARTVİN ,YUSUFELİ,TRUE,1
AYDIN,BOZDOĞAN,AYDIN,BOZDOGAN,17,1206,1,AYDİN ,BOZDOĞAN,TRUE,1
AYDIN,BUHARKENT,AYDIN,BUHARKENT,17,1781,1,AYDİN ,BUHARKENT,TRUE,1
AYDIN,ÇİNE,AYDIN,CINE,17,1256,1,AYDİN ,ÇİNE,TRUE,1
